,v_pprime,j_pprime,position,gaus,condition_number,delta expt-gaus,pr
1,0,70,12414.00962,12414.013832572093,20873.016264103626,,p
3,1,70,12323.345926,,,,p
5,2,70,12233.350807,12233.352202248809,1002.2615144497489,-0.0013952488079667091,p
7,3,70,12144.02963,12144.03134922153,2000.1417710306748,,p
9,4,70,12055.387636,12055.388992480994,86933.02162020857,-0.0013564809942181455,p
11,5,70,11967.430019,11967.432518635502,1071.9012501017023,,p
13,6,70,11880.161995,11880.165620262893,8466.995262673661,,p
15,7,70,11793.588868,11793.591553394544,2205.6968784733963,,p
17,8,70,11707.716095,11707.71813550376,1204.4335286902385,,p
19,9,70,11622.549337,11622.551892801845,214982.94946535866,,p
21,10,70,11538.094508,11538.095954161336,1001.0856375025616,-0.001446161335479701,p
23,11,70,11454.357807,11454.358526459086,286811.02106482367,-0.0007194590853032423,p
25,12,70,11371.345751,11371.345590594527,1011.3486661220707,0.00016040547416196205,p
27,13,70,11289.065189,11289.064987160109,2724.383063850224,0.00020183989181532525,p
29,14,70,11207.52332,11207.522691896811,1077.7557011121332,0.0006281031892285682,p
31,15,70,11126.727697,11126.727262881448,1090.059165946739,0.00043411855222075246,p
33,16,70,11046.686231,11046.686447742266,1591.3895741444408,-0.00021674226627510507,p
35,17,70,10967.407196,10967.406985993422,926.7149853685197,0.00021000657761760522,p
37,18,70,10888.899224,10888.899499379473,2575.6167227100136,-0.0002753794724412728,p
39,19,70,10811.171314,10811.171868756714,870.2521694062204,-0.0005547567143366905,p
41,20,70,10734.232836,10734.232993620391,5518.3558894867265,-0.00015762039220135193,p
43,21,70,10658.093541,10658.09411143122,880.1160214365291,-0.0005704312206944451,p
45,22,70,10582.763572,10582.76474082769,18076.448812015864,-0.0011688276899803896,p
47,23,70,10508.253483,10508.253575322255,898.6444887804982,-9.232225420419127e-05,p
49,24,70,10434.574263,10434.571766231786,123665.74530185024,,p
51,25,70,10361.737351,10361.736904750165,930.0848308428519,0.00044624983456742484,p
53,26,70,10289.75467,10289.754968199937,72758.21251047241,-0.0002981999368785182,p
55,27,70,10218.638651,10218.63770052796,971.4266862806386,0.0009504720401309896,p
57,28,70,10148.402256,,,,p
59,29,70,10079.059009,10079.058196167865,1033.7568550950355,0.0008128321351250634,p
61,30,70,10010.623016,10010.621134354735,4815.353382729769,,p
63,31,70,9943.108989,9943.108880997464,1090.0330635480364,0.0001080025358533021,p
65,32,70,9876.532269,9876.531582654236,1639.3132962765592,0.0006863457638246473,p
67,33,70,9810.908839,9810.909628426316,1197.0612990702289,-0.0007894263162597781,p
69,34,70,9746.255345,9746.256551331115,809.4098580873317,-0.0012063311150996014,p
71,35,70,9682.589116,9682.592418196688,964.7314355041541,,p
73,36,70,9619.928178,9619.929834834924,823.5327419422772,-0.0016568349237786606,p
75,37,70,9558.291275,9558.292458666983,4942.316878704437,-0.0011836669837066438,p
77,38,70,9497.697893,9497.69867279696,47676.094923497665,-0.0007797969592502341,p
79,39,70,9438.168289,9438.168597166119,8242.820889869641,-0.00030816611979389563,p
81,40,70,9379.723518,,,,p
83,41,70,9322.385475,9322.38427213238,786.433375505883,0.001202867619213066,p
85,42,70,9266.176931,9266.173812271816,3467.9402191509585,,p
87,43,70,9211.121585,9211.118730536256,23370.105242419973,,p
89,44,70,9157.244107,9157.242246684773,399171.7240180272,,p
91,45,70,9104.570196,,,,p
93,46,70,9053.126629,,,,p
95,47,70,9002.941311,,,,p
97,48,70,8954.04333,,,,p
99,49,70,8906.462992,,,,p
101,50,70,8860.231867,,,,p
103,51,70,8815.38282,,,,p
105,52,70,8771.950033,,,,p
107,53,70,8729.969034,,,,p
109,54,70,8689.476709,,,,p
111,55,70,8650.511321,,,,p
113,56,70,8613.112522,,,,p
115,57,70,8577.321373,,,,p
117,58,70,8543.180361,,,,p
119,59,70,8510.733414,,,,p
121,60,70,8480.025907,,,,p
123,61,70,8451.104653,,,,p
125,62,70,8424.017849,,,,p
127,63,70,8398.814958,,,,p
129,64,70,8375.546497,,,,p
131,65,70,8354.263663,,,,p
133,66,70,8335.017766,,,,p
135,67,70,8317.859377,,,,p
137,68,70,8302.837138,,,,p
139,69,70,8289.99614,,,,p
141,70,70,8279.375805,,,,p
143,71,70,8271.007219,,,,p
145,72,70,8264.909893,,,,p
147,73,70,8261.087998,,,,p
149,74,70,8259.52619,,,,p
151,75,70,8260.185298,,,,p
153,76,70,8262.998323,,,,p
155,77,70,8267.867436,,,,p
157,78,70,8274.663039,,,,p
159,79,70,8283.226365,,,,p
161,80,70,8293.377712,,,,p
