,v_pprime,j_pprime,position,gaus,condition_number,delta expt-gaus,pr
0,0,68,12429.378577,,,,r
1,0,70,12414.00962,12414.013832572093,20873.016264103626,,p
2,1,68,12338.653534,12338.655527074698,1296.7588802131731,,r
3,1,70,12323.345926,,,,p
4,2,68,12248.596353,12248.597965008026,993.7326172017138,-0.0016120080254040658,r
5,2,70,12233.350807,12233.352202248809,1002.2615144497489,-0.0013952488079667091,p
6,3,68,12159.212352,12159.213687018968,2002.8287105062286,-0.0013350189674383728,r
7,3,70,12144.02963,12144.03134922153,2000.1417710306748,,p
8,4,68,12070.506726,12070.509425690483,30192.5355188297,,r
9,4,70,12055.387636,12055.388992480994,86933.02162020857,-0.0013564809942181455,p
10,5,68,11982.484624,11982.487355986803,1115.7468297244016,,r
11,5,70,11967.430019,11967.432518635502,1071.9012501017023,,p
12,6,68,11895.151218,11895.152451328373,13599.31688712044,-0.0012333283721090993,r
13,6,70,11880.161995,11880.165620262893,8466.995262673661,,p
14,7,68,11808.511774,11808.514685986333,1916.2212590743823,,r
15,7,70,11793.588868,11793.591553394544,2205.6968784733963,,p
16,8,68,11722.571706,11722.573340408202,1338.7836917887946,-0.0016344082014256855,r
17,8,70,11707.716095,11707.71813550376,1204.4335286902385,,p
18,9,68,11637.336637,11637.342467369455,317921.78905239166,,r
19,9,70,11622.549337,11622.551892801845,214982.94946535866,,p
20,10,68,11552.81244,11552.813196270488,1015.9779587269429,-0.000756270488636801,r
21,10,70,11538.094508,11538.095954161336,1001.0856375025616,-0.001446161335479701,p
22,11,68,11469.005276,11469.00253248235,1631447.5093394555,,r
23,11,70,11454.357807,11454.358526459086,286811.02106482367,-0.0007194590853032423,p
24,12,68,11385.921619,11385.92150278183,957.1497700978582,0.0001162181706604315,r
25,12,70,11371.345751,11371.345590594527,1011.3486661220707,0.00016040547416196205,p
26,13,68,11303.56828,11303.567879528802,4629.686649613568,0.0004004711972811492,r
27,13,70,11289.065189,11289.064987160109,2724.383063850224,0.00020183989181532525,p
28,14,68,11221.952413,11221.951447844622,1091.4929469512483,0.0009651553791627521,r
29,14,70,11207.52332,11207.522691896811,1077.7557011121332,0.0006281031892285682,p
30,15,68,11141.081528,11141.081063436297,1183.026131472499,0.0004645637036446715,r
31,15,70,11126.727697,11126.727262881448,1090.059165946739,0.00043411855222075246,p
32,16,68,11060.96349,11060.962929494981,1305.1543583019097,0.0005605050191661576,r
33,16,70,11046.686231,11046.686447742266,1591.3895741444408,-0.00021674226627510507,p
34,17,68,10981.606523,10981.606893595628,907.4075126736128,-0.0003705956278281519,r
35,17,70,10967.407196,10967.406985993422,926.7149853685197,0.00021000657761760522,p
36,18,68,10903.01921,10903.019126055799,1750.243350900841,8.394420183321927e-05,r
37,18,70,10888.899224,10888.899499379473,2575.6167227100136,-0.0002753794724412728,p
38,19,68,10825.210496,10825.210749291204,879.4895008528022,-0.00025329120398964733,r
39,19,70,10811.171314,10811.171868756714,870.2521694062204,-0.0005547567143366905,p
40,20,68,10748.189695,10748.189857569128,2521.932199978519,-0.00016256912931567058,r
41,20,70,10734.232836,10734.232993620391,5518.3558894867265,-0.00015762039220135193,p
42,21,68,10671.966497,10671.966754940751,840.0606172712969,-0.00025794075190788135,r
43,21,70,10658.093541,10658.09411143122,880.1160214365291,-0.0005704312206944451,p
44,22,68,10596.550985,10596.550042415085,11947.045837773449,0.0009425849148101406,r
45,22,70,10582.763572,10582.76474082769,18076.448812015864,-0.0011688276899803896,p
46,23,68,10521.953648,10521.953539685815,861.3511266674954,0.00010831418512680102,r
47,23,70,10508.253483,10508.253575322255,898.6444887804982,-9.232225420419127e-05,p
48,24,68,10448.185402,10448.184493457018,7643.787267521178,0.0009085429810511414,r
49,24,70,10434.574263,10434.571766231786,123665.74530185024,,p
50,25,68,10375.257619,10375.256779120728,926.637479892049,0.0008398792724619852,r
51,25,70,10361.737351,10361.736904750165,930.0848308428519,0.00044624983456742484,p
52,26,68,10303.182143,10303.182145595716,6276.297611555345,-2.5957160687539726e-06,r
53,26,70,10289.75467,10289.754968199937,72758.21251047241,-0.0002981999368785182,p
54,27,68,10231.971327,10231.969873991804,968.2692571715492,0.0014530081953125773,r
55,27,70,10218.638651,10218.63770052796,971.4266862806386,0.0009504720401309896,p
56,28,68,10161.638049,10161.636868690033,4250.185089151688,0.0011803099660028238,r
57,28,70,10148.402256,,,,p
58,29,68,10092.195747,10092.194722364567,999.32243643454,0.0010246354322589468,r
59,29,70,10079.059009,10079.058196167865,1033.7568550950355,0.0008128321351250634,p
60,30,68,10023.658437,10023.658318459118,1671.3972755384082,0.00011854088188556489,r
61,30,70,10010.623016,10010.621134354735,4815.353382729769,,p
62,31,68,9956.040735,9956.040346483605,1047.1515232593092,0.00038851639510539826,r
63,31,70,9943.108989,9943.108880997464,1090.0330635480364,0.0001080025358533021,p
64,32,68,9889.357881,9889.358359394479,914.0142764302245,-0.00047839447870501317,r
65,32,70,9876.532269,9876.531582654236,1639.3132962765592,0.0006863457638246473,p
66,33,68,9823.625754,9823.626312685019,1113.1495838117569,-0.0005586850184045034,r
67,33,70,9810.908839,9810.909628426316,1197.0612990702289,-0.0007894263162597781,p
68,34,68,9758.860891,9758.861713211201,833.2346761566371,-0.0008222112010116689,r
69,34,70,9746.255345,9746.256551331115,809.4098580873317,-0.0012063311150996014,p
70,35,68,9695.080504,9695.081814014547,1042.521084798604,-0.0013100145479256753,r
71,35,70,9682.589116,9682.592418196688,964.7314355041541,,p
72,36,68,9632.302496,9632.303853776602,881.3985092998053,-0.0013577766021626303,r
73,36,70,9619.928178,9619.929834834924,823.5327419422772,-0.0016568349237786606,p
74,37,68,9570.545482,9570.546782594583,3239.9401916617535,-0.0013005945838813204,r
75,37,70,9558.291275,9558.292458666983,4942.316878704437,-0.0011836669837066438,p
76,38,68,9509.828809,9509.829495014535,44753.43901231416,-0.0006860145349492086,r
77,38,70,9497.697893,9497.69867279696,47676.094923497665,-0.0007797969592502341,p
78,39,68,9450.172588,9450.17298537232,10658.639438335842,-0.0003973723214585334,r
79,39,70,9438.168289,9438.168597166119,8242.820889869641,-0.00030816611979389563,p
80,40,68,9391.597717,,,,r
81,40,70,9379.723518,,,,p
82,41,68,9334.125922,9334.125040722258,808.2930179321507,0.0008812777414277662,r
83,41,70,9322.385475,9322.38427213238,786.433375505883,0.001202867619213066,p
84,42,68,9277.779797,9277.77813049041,1776.9179248241644,,r
85,42,70,9266.176931,9266.173812271816,3467.9402191509585,,p
86,43,68,9222.582845,9222.581067523044,45450.29760630661,,r
87,43,70,9211.121585,9211.118730536256,23370.105242419973,,p
88,44,68,9168.559533,9168.555024706786,132656.44341831215,,r
89,44,70,9157.244107,9157.242246684773,399171.7240180272,,p
90,45,68,9115.735334,,,,r
91,45,70,9104.570196,,,,p
92,46,68,9064.136787,,,,r
93,46,70,9053.126629,,,,p
94,47,68,9013.791538,,,,r
95,47,70,9002.941311,,,,p
96,48,68,8964.728394,,,,r
97,48,70,8954.04333,,,,p
98,49,68,8916.977361,,,,r
99,49,70,8906.462992,,,,p
100,50,68,8870.569681,,,,r
101,50,70,8860.231867,,,,p
102,51,68,8825.537862,,,,r
103,51,70,8815.38282,,,,p
104,52,68,8781.915702,,,,r
105,52,70,8771.950033,,,,p
106,53,68,8739.738304,,,,r
107,53,70,8729.969034,,,,p
108,54,68,8699.042091,,,,r
109,54,70,8689.476709,,,,p
110,55,68,8659.864818,,,,r
111,55,70,8650.511321,,,,p
112,56,68,8622.245572,,,,r
113,56,70,8613.112522,,,,p
114,57,68,8586.224789,,,,r
115,57,70,8577.321373,,,,p
116,58,68,8551.844254,,,,r
117,58,70,8543.180361,,,,p
118,59,68,8519.147111,,,,r
119,59,70,8510.733414,,,,p
120,60,68,8488.177847,,,,r
121,60,70,8480.025907,,,,p
122,61,68,8458.982269,,,,r
123,61,70,8451.104653,,,,p
124,62,68,8431.607425,,,,r
125,62,70,8424.017849,,,,p
126,63,68,8406.101469,,,,r
127,63,70,8398.814958,,,,p
128,64,68,8382.513415,,,,r
129,64,70,8375.546497,,,,p
130,65,68,8360.892733,,,,r
131,65,70,8354.263663,,,,p
132,66,68,8341.288749,,,,r
133,66,70,8335.017766,,,,p
134,67,68,8323.749752,,,,r
135,67,70,8317.859377,,,,p
136,68,68,8308.321765,,,,r
137,68,70,8302.837138,,,,p
138,69,68,8295.046869,,,,r
139,69,70,8289.99614,,,,p
140,70,68,8283.961046,,,,r
141,70,70,8279.375805,,,,p
142,71,68,8275.091459,,,,r
143,71,70,8271.007219,,,,p
144,72,68,8268.453161,,,,r
145,72,70,8264.909893,,,,p
146,73,68,8264.045285,,,,r
147,73,70,8261.087998,,,,p
148,74,68,8261.84682,,,,r
149,74,70,8259.52619,,,,p
150,75,68,8261.812271,,,,r
151,75,70,8260.185298,,,,p
152,76,68,8263.86762,,,,r
153,76,70,8262.998323,,,,p
154,77,68,8267.907327,,,,r
155,77,70,8267.867436,,,,p
156,78,68,8273.793391,,,,r
157,78,70,8274.663039,,,,p
158,79,68,8281.357999,,,,r
