,v_pprime,j_pprime,position,gaus,condition_number,delta expt-gaus,pr
0,0,68,12429.378577,,,,r
2,1,68,12338.653534,12338.655527074698,1296.7588802131731,,r
4,2,68,12248.596353,12248.597965008026,993.7326172017138,-0.0016120080254040658,r
6,3,68,12159.212352,12159.213687018968,2002.8287105062286,-0.0013350189674383728,r
8,4,68,12070.506726,12070.509425690483,30192.5355188297,,r
10,5,68,11982.484624,11982.487355986803,1115.7468297244016,,r
12,6,68,11895.151218,11895.152451328373,13599.31688712044,-0.0012333283721090993,r
14,7,68,11808.511774,11808.514685986333,1916.2212590743823,,r
16,8,68,11722.571706,11722.573340408202,1338.7836917887946,-0.0016344082014256855,r
18,9,68,11637.336637,11637.342467369455,317921.78905239166,,r
20,10,68,11552.81244,11552.813196270488,1015.9779587269429,-0.000756270488636801,r
22,11,68,11469.005276,11469.00253248235,1631447.5093394555,,r
24,12,68,11385.921619,11385.92150278183,957.1497700978582,0.0001162181706604315,r
26,13,68,11303.56828,11303.567879528802,4629.686649613568,0.0004004711972811492,r
28,14,68,11221.952413,11221.951447844622,1091.4929469512483,0.0009651553791627521,r
30,15,68,11141.081528,11141.081063436297,1183.026131472499,0.0004645637036446715,r
32,16,68,11060.96349,11060.962929494981,1305.1543583019097,0.0005605050191661576,r
34,17,68,10981.606523,10981.606893595628,907.4075126736128,-0.0003705956278281519,r
36,18,68,10903.01921,10903.019126055799,1750.243350900841,8.394420183321927e-05,r
38,19,68,10825.210496,10825.210749291204,879.4895008528022,-0.00025329120398964733,r
40,20,68,10748.189695,10748.189857569128,2521.932199978519,-0.00016256912931567058,r
42,21,68,10671.966497,10671.966754940751,840.0606172712969,-0.00025794075190788135,r
44,22,68,10596.550985,10596.550042415085,11947.045837773449,0.0009425849148101406,r
46,23,68,10521.953648,10521.953539685815,861.3511266674954,0.00010831418512680102,r
48,24,68,10448.185402,10448.184493457018,7643.787267521178,0.0009085429810511414,r
50,25,68,10375.257619,10375.256779120728,926.637479892049,0.0008398792724619852,r
52,26,68,10303.182143,10303.182145595716,6276.297611555345,-2.5957160687539726e-06,r
54,27,68,10231.971327,10231.969873991804,968.2692571715492,0.0014530081953125773,r
56,28,68,10161.638049,10161.636868690033,4250.185089151688,0.0011803099660028238,r
58,29,68,10092.195747,10092.194722364567,999.32243643454,0.0010246354322589468,r
60,30,68,10023.658437,10023.658318459118,1671.3972755384082,0.00011854088188556489,r
62,31,68,9956.040735,9956.040346483605,1047.1515232593092,0.00038851639510539826,r
64,32,68,9889.357881,9889.358359394479,914.0142764302245,-0.00047839447870501317,r
66,33,68,9823.625754,9823.626312685019,1113.1495838117569,-0.0005586850184045034,r
68,34,68,9758.860891,9758.861713211201,833.2346761566371,-0.0008222112010116689,r
70,35,68,9695.080504,9695.081814014547,1042.521084798604,-0.0013100145479256753,r
72,36,68,9632.302496,9632.303853776602,881.3985092998053,-0.0013577766021626303,r
74,37,68,9570.545482,9570.546782594583,3239.9401916617535,-0.0013005945838813204,r
76,38,68,9509.828809,9509.829495014535,44753.43901231416,-0.0006860145349492086,r
78,39,68,9450.172588,9450.17298537232,10658.639438335842,-0.0003973723214585334,r
80,40,68,9391.597717,,,,r
82,41,68,9334.125922,9334.125040722258,808.2930179321507,0.0008812777414277662,r
84,42,68,9277.779797,9277.77813049041,1776.9179248241644,,r
86,43,68,9222.582845,9222.581067523044,45450.29760630661,,r
88,44,68,9168.559533,9168.555024706786,132656.44341831215,,r
90,45,68,9115.735334,,,,r
92,46,68,9064.136787,,,,r
94,47,68,9013.791538,,,,r
96,48,68,8964.728394,,,,r
98,49,68,8916.977361,,,,r
100,50,68,8870.569681,,,,r
102,51,68,8825.537862,,,,r
104,52,68,8781.915702,,,,r
106,53,68,8739.738304,,,,r
108,54,68,8699.042091,,,,r
110,55,68,8659.864818,,,,r
112,56,68,8622.245572,,,,r
114,57,68,8586.224789,,,,r
116,58,68,8551.844254,,,,r
118,59,68,8519.147111,,,,r
120,60,68,8488.177847,,,,r
122,61,68,8458.982269,,,,r
124,62,68,8431.607425,,,,r
126,63,68,8406.101469,,,,r
128,64,68,8382.513415,,,,r
130,65,68,8360.892733,,,,r
132,66,68,8341.288749,,,,r
134,67,68,8323.749752,,,,r
136,68,68,8308.321765,,,,r
138,69,68,8295.046869,,,,r
140,70,68,8283.961046,,,,r
142,71,68,8275.091459,,,,r
144,72,68,8268.453161,,,,r
146,73,68,8264.045285,,,,r
148,74,68,8261.84682,,,,r
150,75,68,8261.812271,,,,r
152,76,68,8263.86762,,,,r
154,77,68,8267.907327,,,,r
156,78,68,8273.793391,,,,r
158,79,68,8281.357999,,,,r
160,80,68,8290.411837,,,,r
