,v_pprime,j_pprime,position,gaus,condition_number,delta expt-gaus,pr
52,26,115,10284.427491,10284.427701870172,1408.55422553682,-0.00021087017194076907,r
53,26,117,10262.776829,10262.7771585006,1368.5110574081968,-0.0003295005990366917,p
54,27,115,10216.270244,,,,r
55,27,117,10194.79056,,,,p
56,28,115,10149.060134,10149.059693361776,1240.2013374764636,0.0004406382231536554,r
57,28,117,10127.755487,10127.754893084464,1291.2463604525353,0.000593915536228451,p
58,29,115,10082.813643,,,,r
59,29,117,10061.688279,,,,p
60,30,115,10017.547994,10017.54641971256,1117.1609092979518,,r
61,30,117,9996.606363,9996.605175909574,1243.1554974495527,,p
62,31,115,9953.281196,,,,r
63,31,117,9932.52796,,,,p
64,32,115,9890.032076,9890.031046299719,993.2938387064688,0.001029700280923862,r
65,32,117,9869.472126,9869.471168161885,1137.7610482203381,0.0009578381159371929,p
66,33,115,9827.820318,,,,r
67,33,117,9807.458793,9807.457451417024,10769.239808730848,,p
68,34,115,9766.666507,9766.665484585781,959.556179747901,0.0010224142188235419,r
69,34,117,9746.508809,9746.508164172084,999.0596517422248,0.0006448279164033011,p
70,35,115,9706.592171,,,,r
71,35,117,9686.643988,,,,p
72,36,115,9647.619827,9647.637907890325,193523.3207407142,,r
73,36,117,9627.887153,9627.887424361264,6796.463834025332,-0.0002713612648221897,p
74,37,115,9589.773035,9589.771681707902,2835.74295410179,,r
75,37,117,9570.262197,9570.26251391994,831.2543202246088,-0.00031691994081484154,p
76,38,115,9533.076455,9533.076496854848,1587.7202655113258,-4.1854847950162366e-05,r
77,38,117,9513.794143,9513.794617679536,1623.7616914982784,-0.00047467953663726803,p
78,39,115,9477.555914,9477.556276131843,850.8204695615227,-0.000362131842848612,r
79,39,117,9458.509211,9458.510637430463,397.2923184310007,,p
80,40,115,9423.238482,,,,r
81,40,117,9404.434896,9404.435486566648,1598.775569831713,-0.0005905666475882754,p
82,41,115,9370.152551,9370.15207030454,1050.3263672777525,0.0004806954584637424,r
83,41,117,9351.600057,9351.601342327658,1097.390187815351,,p
84,42,115,9318.327931,,,,r
85,42,117,9300.03501,,,,p
86,43,115,9267.795951,9267.79779514079,45570.34523606135,,r
87,43,117,9249.771641,,,,p
88,44,115,9218.589573,,,,r
89,44,117,9200.843519,,,,p
90,45,115,9170.743513,,,,r
91,45,117,9153.286026,9153.289027513638,1084553.792759685,,p
92,46,115,9124.294381,,,,r
93,46,117,9107.136506,,,,p
94,47,115,9079.280824,9079.246713835528,46604100.34735252,,r
95,47,117,9062.434412,,,,p
96,48,115,9035.743693,9035.787303565403,28885262.388272796,,r
97,48,117,9019.221492,,,,p
98,49,115,8993.726225,,,,r
99,49,117,8977.541976,,,,p
100,50,115,8953.274249,,,,r
101,50,117,8937.442804,,,,p
102,51,115,8914.436426,,,,r
103,51,117,8898.973886,,,,p
104,52,115,8877.26453,,,,r
105,52,117,8862.188407,,,,p
106,53,115,8841.813782,,,,r
107,53,117,8827.143193,,,,p
108,54,115,8808.143255,,,,r
109,54,117,8793.899156,,,,p
110,55,115,8776.31636,,,,r
111,55,117,8762.521828,,,,p
112,56,115,8746.401452,,,,r
113,56,117,8733.082027,,,,p
114,57,115,8718.472548,,,,r
115,57,117,8705.656645,,,,p
116,58,115,8692.610216,,,,r
117,58,117,8680.329626,,,,p
118,59,115,8668.902628,,,,r
119,59,117,8657.19313,,,,p
120,60,115,8647.446827,,,,r
121,60,117,8636.348918,,,,p
122,61,115,8628.350208,,,,r
123,61,117,8617.909996,,,,p
124,62,115,8611.732248,,,,r
125,62,117,8602.002521,,,,p
126,63,115,8597.72649,,,,r
127,63,117,8588.768004,,,,p
128,64,115,8586.482793,,,,r
129,64,117,8578.365812,,,,p
130,65,115,8578.169837,,,,r
131,65,117,8570.975975,,,,p
132,66,115,8572.977894,,,,r
133,66,117,8566.802298,,,,p
134,67,115,8571.121823,,,,r
135,67,117,8566.075772,,,,p
136,68,115,8572.844295,,,,r
137,68,117,8569.058251,,,,p
138,69,115,8578.419199,,,,r
139,69,117,8576.046412,,,,p
140,70,115,8588.155227,,,,r
141,70,117,8587.375947,,,,p
142,71,115,8602.399634,,,,r
143,71,117,8603.426029,,,,p
144,72,115,8621.542197,,,,r
145,72,117,8624.624072,,,,p
146,73,115,8646.019466,,,,r
147,73,117,8651.450885,,,,p
148,74,115,8676.319461,,,,r
149,74,117,8684.446395,,,,p
150,75,115,8712.987127,,,,r
151,75,117,8724.216241,,,,p
152,76,115,8756.630995,,,,r
153,76,117,8771.439719,,,,p
154,77,115,8807.93176,,,,r
155,77,117,8826.879788,,,,p
156,78,115,8867.653813,,,,r
157,78,117,8891.396185,,,,p
158,79,115,8936.661185,,,,r
159,79,117,8965.963118,,,,p
160,80,115,9015.939909,,,,r
161,80,117,9051.693554,,,,p
